Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
638,49,88490.79999999999,11.2758387,33.37,34.48,38.63,38.59,30.63,20.41,20.1
639,49,88490.80000000002,7.8608701,33.5,34.72,39.46,38.67,30.45,20.36,20.05
640,49,88490.8,8.2400984,33.35,34.47,38.6,38.59,30.63,20.42,20.11
641,49,88490.8,8.4737765,33.47,34.69,39.38,38.62,30.57,20.4,20.1
642,49,88490.79999999999,9.367757,33.34,34.47,38.54,38.62,30.64,20.43,20.12
643,49,88490.8,8.3848645,33.61,34.76,38.98,38.55,30.5,20.37,20.07
644,49,88490.79999999999,8.813391,33.62,35.04,38.92,38.39,30.62,20.41,20.1
645,49,88490.8,8.5408665,33.43,34.74,39.3,38.54,30.57,20.41,20.11
646,49,88490.8,8.6415642,33.34,34.47,38.54,38.63,30.64,20.43,20.12
647,49,88490.79999999999,8.899272,33.57,34.75,38.89,38.52,30.57,20.4,20.1
648,49,88490.79999999999,8.3885635,33.43,34.49,39.35,38.5,30.64,20.42,20.12
649,49,88490.79999999999,8.7258746,33.31,34.27,38.52,38.53,30.64,20.43,20.12
650,49,88490.8,7.9698404,33.56,34.47,38.89,38.45,30.49,20.37,20.07
651,49,88490.8,11.0755401,33.38,34.28,39.26,38.59,30.51,20.38,20.07
652,49,88490.8,9.3335107,33.34,34.05,38.62,38.6,30.65,20.43,20.12
653,49,88490.8,8.4789474,33.53,34.28,38.88,38.66,30.58,20.41,20.11
654,49,88490.8,8.4835709,33.59,34.52,38.92,38.48,30.61,20.4,20.09
655,49,88490.8,7.5972775,33.68,34.83,39.04,38.38,30.46,20.36,20.07
656,49,88490.8,6.7642725,33.44,34.55,39.32,38.45,30.55,20.39,20.09
657,49,88490.79999999999,7.5880344,33.35,34.32,38.56,38.51,30.63,20.42,20.11
658,49,88490.8,6.7984245,33.58,34.56,38.91,38.44,30.55,20.39,20.09
659,49,88490.8,6.8332646,33.67,34.83,39.04,38.39,30.44,20.35,20.05
660,49,88490.79999999999,7.511561,33.49,34.51,39.41,38.74,30.39,20.34,20.04
661,49,88490.8,7.1174144,33.35,34.33,38.56,38.56,30.54,20.39,20.09
662,49,88490.8,7.2076303,33.62,34.56,39.01,38.55,30.62,20.41,20.1
663,49,88490.8,7.5525674,33.43,34.31,39.37,38.55,30.63,20.42,20.11
664,49,88490.80000000002,7.6118419,33.3,34.06,38.52,38.7,30.64,20.43,20.12
665,49,88490.8,6.8546822,33.54,34.33,38.88,38.5,30.43,20.36,20.07
666,49,88490.79999999999,7.2582917,33.39,34.05,39.34,38.65,30.53,20.39,20.08
667,49,88490.8,6.999812,33.59,34.33,39.05,38.53,30.54,20.38,20.07
668,49,88490.8,7.9224945,33.62,34.57,39.0,38.47,30.48,20.35,20.05
669,49,88490.79999999999,6.8615296,33.66,34.78,38.97,38.41,30.36,20.32,20.03
670,49,88490.8,7.4757642,33.73,35.11,39.08,38.22,30.46,20.34,20.04
671,49,88490.8,6.7715831,33.49,34.8,39.35,38.27,30.6,20.39,20.08
672,49,88490.8,6.8254525,33.39,34.56,38.59,38.35,30.61,20.4,20.09
673,49,88490.79999999999,6.838101,33.63,34.82,38.94,38.27,30.54,20.38,20.08
674,49,88490.8,7.4009327,33.72,35.1,39.08,38.23,30.51,20.36,20.06
675,49,88490.79999999999,7.2701267,33.56,34.81,39.45,38.25,30.56,20.38,20.07
676,49,88490.8,6.8365377,33.47,34.57,38.81,38.36,30.62,20.4,20.1
677,49,88490.8,6.8431289,33.67,34.83,39.05,38.25,30.55,20.38,20.08
678,49,88490.79999999999,7.4621647,33.56,34.56,38.38,38.42,30.48,20.36,20.05
679,49,88490.8,7.3773676,33.71,34.83,39.16,38.26,30.43,20.35,20.05
680,49,88490.8,7.1050177,33.51,34.56,39.42,38.43,30.46,20.36,20.05
681,49,88490.8,7.2241516,33.39,34.33,38.66,38.43,30.62,20.41,20.1
682,49,88490.8,7.1759066,33.63,34.52,39.01,38.32,30.54,20.38,20.07
683,49,88490.79999999999,7.0678564,33.59,34.36,38.52,38.4,30.54,20.39,20.09
684,49,88490.79999999999,6.855457,33.64,34.56,39.05,38.43,30.55,20.37,20.05
685,49,88490.79999999999,6.9188117,33.65,34.82,38.97,38.24,30.54,20.38,20.08
686,49,88490.8,6.8275483,33.55,34.59,38.31,38.33,30.61,20.4,20.09
687,49,88490.8,6.7911513,33.69,34.82,39.07,38.33,30.49,20.36,20.05
688,49,88490.8,7.3488335,33.69,35.1,38.99,38.25,30.6,20.39,20.07
689,49,88490.8,7.1261794,33.56,34.82,39.47,38.28,30.6,20.38,20.08
690,49,88490.8,7.3097068,33.49,34.58,38.84,38.38,30.46,20.36,20.06
691,49,88490.79999999999,7.0944902,33.68,34.77,39.07,38.39,30.47,20.36,20.06
692,49,88490.8,7.0958692,33.5,34.52,39.43,38.5,30.4,20.35,20.06
693,49,88490.8,6.8413796,33.39,34.27,38.69,38.49,30.56,20.4,20.09
694,49,88490.8,6.8860453,33.6,34.52,38.94,38.5,30.54,20.38,20.07
695,49,88490.79999999999,7.4239124,33.69,34.82,39.08,38.58,30.56,20.37,20.06
696,49,88490.8,7.1141682,33.6,34.6,39.58,38.54,30.54,20.38,20.07
697,49,88490.8,6.8637488,33.45,34.36,38.73,38.59,30.62,20.41,20.1
698,49,88490.8,7.562785,33.5,34.45,39.38,38.44,30.56,20.4,20.09
699,49,88490.79999999999,7.3683909,33.4,34.24,38.64,38.52,30.63,20.42,20.11
700,49,88490.79999999999,6.9677545,33.27,34.01,37.98,38.67,30.56,20.41,20.11
701,49,88490.79999999999,6.8785152,33.5,34.25,38.28,38.54,30.56,20.4,20.1
702,49,88490.8,7.0004155,33.66,34.51,39.06,38.62,30.61,20.4,20.08
703,49,88490.8,7.0542534,33.66,34.78,38.98,38.68,30.54,20.38,20.07
704,49,88490.79999999999,6.7674137,33.69,35.05,38.99,38.75,30.6,20.39,20.08
705,49,88490.8,6.8631404,33.75,35.35,39.02,38.55,30.48,20.35,20.05
706,49,88490.79999999999,7.1189035,33.59,35.04,39.47,38.77,30.53,20.35,20.03
707,49,88490.8,6.9005087,33.5,34.79,38.74,38.47,30.58,20.38,20.07
708,49,88490.8,7.0279743,33.7,35.03,38.99,38.34,30.5,20.36,20.06
709,49,88490.79999999999,7.3421793,33.62,34.81,38.42,38.34,30.59,20.39,20.07
710,49,88490.8,7.6122335,33.74,35.02,39.16,38.38,30.61,20.4,20.08
711,49,88490.8,7.3913553,33.52,34.7,39.43,38.45,30.52,20.37,20.06
712,49,88490.8,7.3157425,33.39,34.46,38.6,38.36,30.62,20.41,20.1
713,49,88490.8,7.0912286,33.67,34.76,39.05,38.31,30.54,20.39,20.09
714,49,88490.8,8.7952367,33.55,34.53,38.37,38.36,30.62,20.41,20.1
715,49,88490.79999999999,9.4286162,33.62,34.75,38.94,38.31,30.62,20.4,20.09
716,49,88490.8,7.4411822,33.67,35.03,38.98,38.4,30.54,20.38,20.06
717,49,88490.8,7.0110377,33.56,34.77,38.3,38.5,30.4,20.35,20.06
718,49,88490.8,8.3603644,33.44,34.55,37.73,38.47,30.54,20.39,20.08
719,49,88490.8,7.0591803,33.57,34.78,38.3,38.42,30.52,20.37,20.06
720,49,88490.79999999999,7.7982953,33.46,34.55,37.78,38.51,30.55,20.39,20.09
721,49,88490.8,8.440791,33.58,34.78,38.33,38.35,30.6,20.39,20.09
722,49,88490.79999999999,8.002333,33.72,35.03,39.09,38.45,30.6,20.39,20.07
723,49,88490.79999999999,7.9803904,33.53,34.74,39.45,38.67,30.61,20.4,20.09
724,49,88490.79999999999,10.7054498,33.68,34.98,38.99,38.32,30.53,20.37,20.07
725,49,88490.8,8.9465399,33.68,35.33,38.46,38.33,30.6,20.39,20.07
726,49,88490.8,10.7361521,33.83,35.62,39.23,38.33,30.51,20.36,20.05
727,49,88490.8,7.9976505,33.59,35.29,39.47,38.33,30.61,20.39,20.08
728,49,88490.8,8.6526219,33.5,34.99,38.75,38.44,30.61,20.4,20.09
729,49,88490.8,10.9438802,33.56,34.68,39.53,38.56,30.54,20.39,20.09
730,49,88490.79999999999,8.8362049,33.41,34.43,38.67,38.5,30.64,20.42,20.11
731,49,88490.8,12.2327731,33.67,34.66,39.12,38.42,30.56,20.4,20.1
732,49,88490.8,8.9702409,33.44,34.4,39.38,38.58,30.63,20.42,20.1
733,49,88490.8,8.9221239,33.3,34.17,38.52,38.63,30.64,20.43,20.12
734,49,88490.8,7.815352,33.58,34.22,38.98,38.58,30.48,20.39,20.09
735,49,88490.79999999999,7.9615848,33.34,34.41,39.12,38.66,30.6,20.4,20.08
736,49,88490.8,8.9385138,33.57,34.51,39.61,38.47,30.55,20.38,20.08
737,49,88490.8,7.8565128,33.45,34.31,38.79,38.61,30.6,20.39,20.07
738,49,88490.8,12.2144514,33.57,34.56,39.55,38.65,30.45,20.35,20.05
739,49,88490.79999999999,7.8596748,33.44,34.82,39.87,38.76,30.58,20.37,20.05
740,49,88490.79999999999,8.1837092,33.36,34.56,39.07,38.74,30.54,20.36,20.04
741,49,88490.8,7.9079699,33.34,34.27,39.81,38.64,30.62,20.41,20.09
742,49,88490.8,9.8831706,33.21,34.06,38.91,38.57,30.61,20.41,20.09
743,49,88490.8,7.5116355,33.19,33.78,39.68,38.63,30.64,20.43,20.12
744,49,88490.79999999999,7.1748183,33.14,33.62,38.87,38.64,30.65,20.44,20.13
745,49,88490.8,7.016093,33.54,33.88,38.96,38.7,30.55,20.4,20.09
